,Country_Region,Confirmed,Deaths,Active,Deaths_per_100,iso3,Population,Lat,Long,Continent,Cases_per_million,Confirmed_last_week,Deaths_last_week,New_cases_last_week,New_deaths_last_week,Confirmed_last_month,Deaths_last_month,New_cases_last_month,New_deaths_last_month
0,Afghanistan,178648.0,7681.0,0.0,4.299516367381667,AFG,38928341.0,33.93911,67.709953,Asia,4589.150100180225,178387.0,7676.0,261.0,5.0,177321.0,7657.0,1327.0,24.0
1,Albania,274791.0,3496.0,0.0,1.2722396293910645,ALB,2877800.0,41.1533,20.1683,Europe,95486.48272986308,274462.0,3496.0,329.0,0.0,273387.0,3491.0,1404.0,5.0
2,Algeria,265761.0,6874.0,0.0,2.5865345178562693,DZA,43851043.0,28.0339,1.6596,Africa,6060.539996733944,265739.0,6874.0,22.0,0.0,265621.0,6873.0,140.0,1.0
3,Andorra,41013.0,153.0,0.0,0.3730524467851657,AND,77265.0,42.5063,1.5218,Europe,530809.5515433897,40709.0,153.0,304.0,0.0,39713.0,153.0,1300.0,0.0
4,Angola,99287.0,1900.0,0.0,1.9136442837430883,AGO,32866268.0,-11.2027,17.8739,Africa,3020.9392803588166,99194.0,1900.0,93.0,0.0,99106.0,1900.0,181.0,0.0
5,Antarctica,11.0,0.0,0.0,0.0,ATA,,-71.9499,23.347,Antarctica,,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
6,Antigua and Barbuda,7571.0,135.0,0.0,1.783119799233919,ATG,97928.0,17.0608,-61.7964,North America,77311.90262233478,7535.0,135.0,36.0,0.0,7482.0,135.0,89.0,0.0
7,Argentina,9060923.0,128344.0,0.0,1.4164561380777654,ARG,45195777.0,-38.4161,-63.6167,South America,200481.62906901678,9060495.0,128344.0,428.0,0.0,9025257.0,127904.0,35666.0,440.0
8,Armenia,422822.0,8622.0,0.0,2.0391559568802,ARM,2963234.0,40.0691,45.0382,Asia,142689.37248965152,422747.0,8621.0,75.0,1.0,422444.0,8608.0,378.0,14.0
9,Australia,5685602.0,6983.0,0.0,0.12281900843569424,AUS,25459700.0,-25.0,133.0,Oceania,223317.71387722556,5384615.0,6779.0,300987.0,204.0,4275210.0,5893.0,1410392.0,1090.0
10,Austria,4099049.0,18035.0,0.0,0.4399801027018706,AUT,9006400.0,47.5162,14.5501,Europe,455126.2435601351,4045809.0,16407.0,53240.0,1628.0,3698511.0,15665.0,400538.0,2370.0
11,Azerbaijan,792476.0,9707.0,0.0,1.224895138780228,AZE,10139175.0,40.1431,47.5769,Asia,78159.81083273541,792349.0,9705.0,127.0,2.0,791695.0,9679.0,781.0,28.0
12,Bahamas,33463.0,789.0,0.0,2.3578280488898185,BHS,393248.0,25.025885,-78.035889,North America,85093.88477500204,33391.0,789.0,72.0,0.0,33249.0,788.0,214.0,1.0
13,Bahrain,565830.0,1475.0,0.0,0.26067900252726084,BHR,1701583.0,26.0275,50.55,Asia,332531.5309332545,562759.0,1473.0,3071.0,2.0,550362.0,1468.0,15468.0,7.0
14,Bangladesh,1952532.0,29127.0,0.0,1.491755320783475,BGD,164689383.0,23.685,90.3563,Asia,11855.84622659009,1952275.0,29124.0,257.0,3.0,1951239.0,29118.0,1293.0,9.0
15,Barbados,67256.0,389.0,0.0,0.5783870584037112,BRB,287371.0,13.1939,-59.5432,North America,234038.9252916961,64348.0,383.0,2908.0,6.0,58270.0,330.0,8986.0,59.0
16,Belarus,977434.0,6922.0,0.0,0.7081808081159444,BLR,9449321.0,53.7098,27.9534,Europe,103439.60163910191,974046.0,6899.0,3388.0,23.0,958492.0,6778.0,18942.0,144.0
17,Belgium,4015791.0,31319.0,0.0,0.779896164914957,BEL,11492641.0,50.8333,4.469936,Europe,349422.81760998187,3972963.0,31165.0,42828.0,154.0,3782085.0,30686.0,233706.0,633.0
18,Belize,57419.0,676.0,0.0,1.1773106463017466,BLZ,397621.0,17.1899,-88.4976,North America,144406.35680711028,57331.0,672.0,88.0,4.0,57231.0,654.0,188.0,22.0
19,Benin,26952.0,163.0,0.0,0.6047788661323835,BEN,12123198.0,9.3077,2.3158,Africa,2223.1757659983778,26952.0,163.0,0.0,0.0,26952.0,163.0,0.0,0.0
20,Bhutan,57340.0,20.0,0.0,0.03487966515521451,BTN,771612.0,27.5142,90.4336,Asia,74311.95989694302,51800.0,16.0,5540.0,4.0,24761.0,9.0,32579.0,11.0
21,Bolivia,904294.0,21907.0,0.0,2.422552842327827,BOL,11673029.0,-16.2902,-63.5887,South America,77468.66730134912,903888.0,21903.0,406.0,4.0,901108.0,21487.0,3186.0,420.0
